"타임스탬프","학부모의 연령대","학부모의 학력","학부모의 직업","자녀의 학년","자녀의 학교 활동에 얼마나 참여하시나요?


예: 학교 행사 참석, 학부모 모임 및 회의 참여 등","자녀의 교사와 얼마나 자주 소통하시나요?","나는 자녀의 학습에 대해 충분히 도와줄 수 있다고 생각한다.","나는 자녀의 학습 문제를 해결할 수 있는 능력이 있다고 생각한다.","나는 자녀의 학습 동기를 높일 수 있다고 믿는다","자녀는 학교생활에 얼마나 만족하고 있나요?","자녀의 학업 성취도는 어느 정도라고 생각하나요?","자녀의 학업을 위해 어떤 방식으로 지원하고 계시나요? (복수 선택 가능)","자녀의 학습 환경을 조성하기 위해 어떤 노력을 하고 계시나요? (복수 선택 가능)","자녀가 학업에 대해 얼마나 긍정적인 태도를 갖고 있나요?","자녀의 학업 성취도에 가장 큰 영향을 미치는 요인은 무엇이라고 생각하나요? (자유 응답)


예: 교사의 역량, 자녀의 학습 태도 등","학부모로서 자녀의 학업 지원에 있어 가장 큰 어려움은 무엇이라고 생각하나요? (자유 응답)


예: 경제적 문제, 시간 등"
"6/6/2024 15:40:27","40대","대졸","자영업","고등학교 (10~12학년)","전혀 참여하지 않는다","가끔 소통한다","보통이다","보통이다","그렇다","약간 만족한다","보통이다","학원 등록, 온라인 교육 프로그램, 학습 자료 제공(책, 문제집 등)","학습 도구 제공(컴퓨터, 아이패드)","보통이다","",""
"6/6/2024 18:10:19","50대 이상","대학원 졸","자영업","고등학교 (10~12학년)","보통이다","가끔 소통한다","전혀 그렇지 않다","전혀 그렇지 않다","보통이다","보통이다","보통이다","개인 과의","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","보통이다","자녀의 마음가짐","학업지원 해줘도 목표치만큼 성과가 나오지않음"
"6/6/2024 18:10:44","40대","대졸","직장인","고등학교 (10~12학년)","가끔 참여한다","가끔 소통한다","그렇지 않다","그렇지 않다","보통이다","약간 만족한다","보통이다","학원 등록, 개인 과의","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","보통이다","자녀의 학습태도","시간"
"6/6/2024 18:12:56","50대 이상","대졸","주부","고등학교 (10~12학년)","가끔 참여한다","가끔 소통한다","그렇지 않다","그렇지 않다","그렇지 않다","보통이다","매우 낮다","개인 과의","조용한 학습 공간 마련","약간 부정적이다","교사의 역량, 친구들과의 관계에서 동기부여","소통과 상호 신뢰"
"6/6/2024 18:13:07","","","","","","","","","","","","","","","",""
"6/6/2024 18:15:37","50대 이상","대학원 졸","주부","고등학교 (10~12학년)","자주 참여한다","자주 소통한다","그렇다","그렇다","그렇다","약간 만족한다","높다","학원 등록, 온라인 교육 프로그램, 자녀와 함께 학습 시간 갖기, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공, 자녀의 학습 습관 점검","약간 긍정적이다","자녀의 학습계획과 실천과 결과의 전체과정","경제적 문제/ 해외에서 구하기어려운 교재"
"6/6/2024 18:20:36","40대","대학원 졸","주부","고등학교 (10~12학년)","자주 참여한다","가끔 소통한다","보통이다","보통이다","그렇다","약간 만족한다","높다","학원 등록, 온라인 교육 프로그램, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 자녀의 학습 습관 점검","약간 긍정적이다","학습태도  교사의 역량",""
"6/6/2024 18:22:17","50대 이상","대졸","주부","고등학교 (10~12학년)","보통이다","전혀 소통하지 않는다","그렇지 않다","그렇지 않다","보통이다","약간 만족하지 않는다","높다","많은 이야기를 하고 들어준다","자녀의 학습 습관 점검","약간 긍정적이다","아이의 관심","경제적 문제"
"6/6/2024 18:22:25","40대","대졸","주부","고등학교 (10~12학년)","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","학원 등록, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","보통이다","학습태도(동기부여)","자녀의 마음에 대한 공감"
"6/6/2024 18:24:28","50대 이상","대졸","주부","고등학교 (10~12학년)","전혀 참여하지 않는다","가끔 소통한다","매우 그렇다","매우 그렇다","그렇지 않다","약간 만족한다","보통이다","학습 자료 제공(책, 문제집 등)","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공, 자녀의 학습 습관 점검","보통이다","자녀의 학습태도, 학습에 대한 의지","소통"
